member_id,account_no,status,savings_product,account_type,installment_amount,principal_amount,balance
M10001,69042817543,Active,General Savings,Compulsory Savings,500,0,8450
M10002,69042817544,Active,General Savings,Compulsory Savings,500,0,5820
M10003,69042817545,Active,General Savings,Compulsory Savings,500,0,11250
M10004,69042817546,Active,General Savings,Compulsory Savings,500,0,3640
M10005,69042817547,Active,General Savings,Compulsory Savings,500,0,7920
M10006,69042817548,Active,General Savings,Compulsory Savings,500,0,6280
M10007,69042817549,Active,General Savings,Compulsory Savings,500,0,9870
M10008,69042817550,Active,General Savings,Compulsory Savings,500,0,3150
M10009,69042817551,Active,General Savings,Compulsory Savings,500,0,6740
M10010,69042817552,Active,General Savings,Compulsory Savings,500,0,4560
M10011,69042817553,Active,General Savings,Compulsory Savings,500,0,13420
M10012,69042817554,Active,General Savings,Compulsory Savings,500,0,2870
M10013,69042817555,Active,General Savings,Compulsory Savings,500,0,8730
M10014,69042817556,Active,General Savings,Compulsory Savings,500,0,5940
M10015,69042817557,Active,General Savings,Compulsory Savings,500,0,10680
M10016,69042817558,Active,General Savings,Compulsory Savings,500,0,3920
M10017,69042817559,Active,General Savings,Compulsory Savings,500,0,7650
M10018,69042817560,Active,General Savings,Compulsory Savings,500,0,5240
M10019,69042817561,Active,General Savings,Compulsory Savings,500,0,12350
M10020,69042817562,Active,General Savings,Compulsory Savings,500,0,3480
